YEAR,MONTH,QUARTER,MKT_CARRIER,MKT_CARRIER_AIRLINE_ID,MKT_CARRIER_NAME,MKT_UNIQUE_CARRIER,MKT_UNIQUE_CARRIER_NAME,OP_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER_NAME,OP_UNIQUE_CARRIER,OP_UNIQUE_CARRIER_NAME,PAX_ALT_TRANS,PAX_NO_ALT_TRANS,PAX_NO_COMP_1,PAX_NO_COMP_2,PAX_NO_COMP_3,TOT_DEN_BOARDING,PAX_COMP_1,PAX_COMP_2,PAX_UPGRADE,PAX_DOWNGRADE,TOT_BOARDING,COMP_PAID_1,COMP_PAID_2,COMP_PAID_3,CODE_SHARE,OP_CARRIER_SOURCE
2018,12,4,UA,19977,United Air Lines Inc.,UA,United Air Lines Inc.,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,0,7,0,0,0,7,7,1318,1,0,1539834,0,2011,0,true,EV
2018,12,4,,,,,,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,0,9,0,13,0,22,22,1658,98,98,1835755,0,8639,0,false,EV
2019,3,1,UA,19977,United Air Lines Inc.,UA,United Air Lines Inc.,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,0,0,1,0,0,1,1,1470,0,0,1447984,0,0,0,true,EV
2019,3,1,,,,,,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,0,0,1,0,0,1,1,1470,0,0,1454843,0,0,0,false,EV
2019,6,2,UA,19977,United Air Lines Inc.,UA,United Air Lines Inc.,EV,20366,ExpressJet Airlines LLC,EV,ExpressJet Airlines LLC,0,1,0,0,0,1,1,1522,4,7,1257349,0,1350,0,true,EV
2019,6,2,,,,,,EV,20366,ExpressJet Airlines LLC,EV,ExpressJet Airlines LLC,0,1,0,0,0,1,1,1522,4,7,1257349,0,1350,0,false,EV
2019,9,3,UA,19977,United Air Lines Inc.,UA,United Air Lines Inc.,EV,20366,ExpressJet Airlines LLC,EV,ExpressJet Airlines LLC,0,0,0,0,0,0,0,1358,4,10,1433425,0,0,0,true,EV
2019,9,3,,,,,,EV,20366,ExpressJet Airlines LLC,EV,ExpressJet Airlines LLC,0,0,0,0,0,0,0,1358,4,10,1433425,0,0,0,false,EV
2019,12,4,UA,19977,United Air Lines Inc.,UA,United Air Lines Inc.,EV,20366,ExpressJet Airlines LLC,EV,ExpressJet Airlines LLC,0,1,0,0,0,1,1,990,21,21,1467237,0,0,0,true,EV
2019,12,4,,,,,,EV,20366,ExpressJet Airlines LLC,EV,ExpressJet Airlines LLC,0,1,0,0,0,1,1,990,21,21,1467237,0,0,0,false,EV
2020,3,1,UA,19977,United Air Lines Inc.,UA,United Air Lines Inc.,EV,20366,ExpressJet Airlines LLC,EV,ExpressJet Airlines LLC,0,0,0,0,0,0,0,669,20,21,1239445,0,0,0,true,EV
2020,3,1,,,,,,EV,20366,ExpressJet Airlines LLC,EV,ExpressJet Airlines LLC,0,0,0,0,0,0,0,669,20,21,1239445,0,0,0,false,EV
2020,6,2,UA,19977,United Air Lines Inc.,UA,United Air Lines Inc.,EV,20366,ExpressJet Airlines LLC,EV,ExpressJet Airlines LLC,0,0,0,0,0,0,0,5,0,5,115481,0,0,0,true,EV
2020,6,2,,,,,,EV,20366,ExpressJet Airlines LLC,EV,ExpressJet Airlines LLC,0,0,0,0,0,0,0,5,0,5,115481,0,0,0,false,EV
2020,9,3,UA,19977,United Air Lines Inc.,UA,United Air Lines Inc.,EV,20366,ExpressJet Airlines LLC,EV,ExpressJet Airlines LLC,0,0,0,0,0,0,0,12,0,0,227234,0,0,0,true,EV
2020,9,3,,,,,,EV,20366,ExpressJet Airlines LLC,EV,ExpressJet Airlines LLC,0,0,0,0,0,0,0,12,0,0,227234,0,0,0,false,EV
2010,12,4,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,10,98,6,48,26,188,18,784,0,0,2241300,678,3465,1229,false,F9
2011,3,1,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,23,119,8,69,14,233,23,837,0,0,2090355,592,7096,1850,false,F9
2011,6,2,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,7,191,6,36,8,248,10,1201,0,0,2638684,322,3802,600,false,F9
2011,9,3,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,14,213,6,88,9,330,23,1297,0,0,3045475,296,7564,512,false,F9
2011,12,4,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,8,142,5,51,6,212,47,1108,0,0,2721582,1271,25345,689,false,F9
2012,3,1,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,5,68,3,29,4,109,17,399,0,0,2409538,886,14409,4754,false,F9
2012,6,2,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,7,132,8,108,6,261,20,798,0,0,2597591,795,13598,2251,false,F9
2012,9,3,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,13,140,12,158,10,333,26,1059,0,0,2779046,896,18215,3251,false,F9
2012,12,4,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,5,62,5,28,5,105,7,426,0,0,2537924,227,4899,2215,false,F9
2013,3,1,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,4,118,3,48,7,180,18,492,0,0,2264114,898,13724,498,false,F9
2013,6,2,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,6,171,10,145,25,357,29,908,0,0,2589674,1346,26456,1023,false,F9
2013,9,3,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,8,189,5,179,35,416,68,1169,0,0,2842615,2549,52596,1987,false,F9
2013,12,4,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,10,140,3,98,68,319,48,924,0,0,2665493,3522,63580,1562,false,F9
2014,3,1,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,9,145,5,89,38,286,46,655,0,0,2401997,3498,29943,1485,false,F9
2014,6,2,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,12,219,3,87,28,349,37,934,0,0,2937116,2962,38560,3256,false,F9
2014,9,3,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,10,370,5,112,43,540,68,1069,0,0,3323385,3175,44064,8566,false,F9
2014,12,4,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,8,289,6,79,59,441,108,1206,0,0,3125104,2495,49548,7980,false,F9
2015,3,1,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,8,102,1,89,14,209,42,682,0,0,2632410,1987,27450,2899,false,F9
2015,6,2,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,10,109,2,101,31,253,44,699,0,0,2962152,1899,21550,3150,false,F9
2015,9,3,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,5,229,2,112,42,390,52,715,0,0,3201831,1798,31352,3545,false,F9
2015,12,4,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,8,219,1,87,65,380,42,648,0,0,3547147,2108,19475,3545,false,F9
2016,3,1,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,4,91,1,47,18,161,38,379,0,0,3151585,1452,24567,2011,false,F9
2016,6,2,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,10,176,3,59,26,274,61,842,0,0,3614118,3894,29580,4258,false,F9
2016,9,3,F10,20437,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,4,91,1,122,35,253,60,425,0,0,4129349,2150,33174,4059,,
2016,12,4,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,2,110,0,36,15,163,59,450,0,0,3771280,1326,46243,1892,false,F9
2017,3,1,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,1,110,0,48,8,167,63,312,0,0,3582185,822,45338,877,false,F9
2017,6,2,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,F9,20436,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,1,97,1,92,12,203,114,644,0,0,4138695,1198,74846,2174,false,F9
